id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Luxembourg,LUX,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,29665,32876,33785,35558,37195,39636,41344,42846,44397,50628,55349,55895
Latvia,LVA,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,0,0,0,0,5416,5508,5796,6485,7077,7405,8019,9035
Morocco,MAR,24807462,25260404,25711406,26155203,26584478,26994250,27383473,27754571,28110443,28455509,28793679,29126330,29454768,30115214,30455561,30804683,31163673,31536811,31929087,32343389,32781850,33241898,33715693,34192347,2546,2771,2726,2722,3025,2876,3244,3204,3430,3474,3575,3873
Madagascar,MDG,11598633,11942819,12301336,12675460,13066543,13475400,13902688,14347854,14808791,15282521,15766806,16260932,16765117,17802997,18336724,18880269,19433530,19996473,20569117,21151640,21743967,22346641,22961253,23589887,1073,1009,1014,1028,1018,1025,1034,1057,1076,1107,1149,1207
Maldives,MDV,223158,229751,236265,242605,248588,254139,259183,263842,268455,273527,279398,286306,294186,311265,319608,327487,335169,343452,353398,365734,380495,397237,415593,435015,0,0,0,0,0,5696,6135,6645,7100,7505,7800,7472
Mexico,MEX,83943132,85512623,87075138,88625440,90156400,91663285,93147044,94611002,96056321,97484832,98899845,100298153,101684758,104514932,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,6499,6883,7186,8556,9014,8483,9076,9712,10173,10449,11090,11130
Marshall Islands,MHL,47271,48404,49245,49831,50215,50457,50533,50450,50356,50423,50753,51422,52370,54476,55258,55767,56051,56174,56250,56366,56531,56717,56938,57179,1888,1908,2055,2204,2365,2600,2372,2261,2225,2200,2367,2515
Mali,MLI,8449913,8635527,8850334,9087176,9334880,9585653,9837571,10094368,10360561,10642936,10946445,11271600,11616887,12369070,12775516,13203378,13651464,14113577,14581429,15049353,15514591,15979499,16449864,16934220,827,935,903,929,958,961,1021,1061,1125,1174,1166,1336
Malta,MLT,354170,363845,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,9338,9986,10582,11206,11980,12916,13675,15130,15869,16962,19426,19621
Mozambique,MOZ,12987292,13328032,13806001,14370946,14948048,15483286,15960442,16397183,16813949,17244188,17711927,18221888,18764155,19910552,20493925,21080110,21673316,22276596,22894710,23531574,24187487,24862648,25560725,26286163,251,265,248,265,276,278,349,383,422,450,456,510
Mauritania,MRT,2034346,2087912,2142645,2198532,2255516,2313630,2372901,2433563,2496216,2561585,2630219,2702400,2778099,2939247,3024194,3111906,3202517,3296238,3393409,3494195,3598648,3706554,3817494,3930896,1818,1864,1892,1999,1929,2108,2215,2108,2136,2275,2255,2288
Mauritius,MUS,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,4919,5254,5649,6005,6298,6649,7076,7513,7974,8196,8978,9407
Malawi,MWI,9404500,9600355,9685973,9710331,9745690,9844415,10022789,10264906,10552338,10854322,11148758,11432000,11713664,12301838,12625952,12973699,13341806,13727890,14128155,14539612,14962112,15396005,15839269,16289540,485,534,501,562,513,605,650,670,684,695,703,666
Malaysia,MYS,18029824,18519937,19002656,19484898,19977500,20487607,21017613,21562793,22114654,22661298,23194257,23709119,24208391,25190652,25690611,26201961,26720370,27236006,27735040,28208035,28650955,29068159,29468872,29866559,6850,7553,8198,8994,9785,10699,11682,12432,11356,11932,12974,13038
Namibia,NAM,1432905,1476388,1516958,1555101,1591822,1627865,1663378,1698032,1731639,1763859,1794571,1823672,1851523,1907745,1938320,1971317,2006514,2043394,2081044,2118874,2156701,2194784,2233510,2273430,3707,4024,4293,4219,4283,4443,4569,4745,4860,5003,5203,5294
Niger,NER,8026591,8288735,8566770,8860287,9168312,9490288,9826598,10178201,10545716,10929918,11331557,11751365,12189983,13125916,13624467,14143971,14685399,15250908,15843133,16464025,17114761,17795191,18504255,19240157,579,595,550,552,567,574,584,589,635,618,601,634
Nigeria,NGA,95212450,97667632,100161710,102700753,105293700,107948335,110668794,113457663,116319759,119260063,122283850,125394046,128596076,135320422,138865016,142538308,146339977,150269623,154324933,158503197,162805071,167228767,171765769,176404902,2181,2206,2302,2251,2202,2191,2268,2316,2344,2333,2443,2578
Nicaragua,NIC,4173434,4267568,4364512,4462497,4559006,4652185,4741578,4827661,4910647,4991040,5069302,5145366,5219328,5364935,5438690,5513763,5590055,5667432,5745526,5824065,5903039,5982526,6062454,6142733,1929,1947,1954,1949,2014,2134,2267,2355,2428,2594,2718,2818
Netherlands,NLD,14951510,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,19145,20116,20768,21378,22346,23410,24484,26014,27709,29269,31875,33194
Norway,NOR,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,18432,19550,20591,21550,22992,24323,26791,28605,28186,30555,36956,37787
Nepal,NPL,18905478,19405504,19938320,20489975,21040904,21576071,22090352,22584775,23057883,23509964,23941110,24347106,24725627,25419344,25744500,26066693,26382581,26666576,26883535,27013212,27041437,26989862,26917906,26906926,771,826,856,885,953,982,1029,1075,1097,1140,1215,1280
Nauru,NRU,9505,9764,10030,10287,10498,10628,10672,10647,10565,10449,10337,10215,10102,9902,9849,9828,9842,9891,9939,10005,10057,10279,10821,11853,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,3329800,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,14864,14566,14918,15961,17092,17908,18464,19137,19343,20579,21522,22500
Oman,OMN,1812161,1893768,1983275,2072104,2148419,2204277,2236654,2249762,2251864,2254904,2267973,2294962,2334858,2445517,2511251,2580758,2657158,2750963,2876186,3041434,3251108,3498029,3764805,4027260,22740,23862,25265,26251,26861,28065,29023,31123,32275,32656,34986,36917
Pakistan,PAK,107647921,110778648,113911126,117086685,120362762,123776839,127349290,131057431,134843233,138624621,142343578,145978402,149549700,156664697,160304008,164022627,167808105,171648986,175525609,179424641,183340592,187281475,191262919,195306825,1983,2093,2242,2272,2342,2441,2533,2529,2549,2607,2706,2750
Panama,PAN,2470947,2523118,2575954,2629580,2684116,2739668,2796291,2853913,2912316,2971196,3030328,3089648,3149188,3269356,3330217,3391666,3453675,3516204,3579215,3642687,3706483,3770624,3835437,3901315,5097,5647,6121,6473,6662,6780,7041,7471,7947,8211,8455,8523
Peru,PER,22071433,22522378,22966818,23408131,23851408,24299160,24753824,25210954,25658062,26078293,26459944,26799285,27100968,27624213,27866145,28102056,28333052,28562317,28792655,29027674,29264318,29506788,29773987,30090359,3409,3531,3522,3723,4191,4512,4636,4930,4880,4943,5115,5193
Philippines,PHL,61895160,63454786,65020116,66593904,68180859,69784088,71401749,73030884,74672014,76325927,77991755,79672873,81365258,84710542,86326250,87888675,89405482,90901965,92414158,93966780,95570047,97212638,98871552,100513138,2605,2611,2615,2669,2780,2902,3057,3199,3145,3218,3361,3460
Palau,PLW,15058,15441,15856,16290,16717,17164,17593,18014,18410,18776,19105,19386,19637,19867,19781,19540,19158,18704,18285,17955,17745,17640,17606,17626,0,0,0,0,0,0,0,0,0,0,9828,10555
Papua New Guinea,PNG,4615839,4725547,4836217,4949051,5065661,5187060,5314248,5446641,5581762,5716161,5847586,5974629,6098621,6354245,6494903,6646895,6808514,6976201,7144776,7310507,7472200,7631002,7788379,7946731,1439,1592,1811,2142,2264,2183,2337,2229,2117,2136,2081,2079
Poland,POL,38110782,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,6176,5916,6184,6550,7029,7665,8255,8922,9471,10022,10653,11102
"Korea, Dem. People’s Rep.",PRK,20293054,20609150,20937404,21265834,21577982,21862299,22113438,22335267,22536753,22731482,22929075,23132980,23339453,23732731,23904167,24054864,24188331,24310142,24428341,24548836,24673385,24800612,24929452,25057752,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,11763,12721,13163,13183,13558,14386,14903,15791,16692,17723,18887,19541
Paraguay,PRY,4223415,4334345,4445016,4555521,4666094,4776843,4887632,4998100,5107839,5216349,5323201,5428444,5531962,5730549,5824096,5913209,5998427,6081296,6163972,6248020,6333976,6421512,6510276,6599526,5148,5367,5443,5706,5992,6383,6453,6691,6626,6492,6353,6314
Qatar,QAT,476278,487353,495395,501479,507041,513442,522531,535321,551562,570489,592468,615012,640868,753334,865416,1022711,1218434,1436665,1654950,1856327,2035871,2196074,2336574,2459198,0,0,0,0,0,0,0,0,0,0,86169,88138
Romania,ROU,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,5272,4788,4508,4692,4988,5421,5738,5564,5544,5596,5849,6521
Rwanda,RWA,7288882,7083935,6702244,6263757,5936261,5836495,6013107,6419901,6962802,7501234,7933681,8231156,8427060,8680524,8840215,9043337,9273757,9524534,9782770,10039338,10293331,10549678,10811543,11083635,563,584,669,673,361,507,565,612,622,610,639,683
Saudi Arabia,SAU,16233785,16772694,17282691,17763298,18214470,18638787,19033845,19407142,19783304,20194527,20663843,21202642,21805313,23132682,23816183,24498310,25184597,25888541,26630303,27421461,28267685,29155187,30052518,30916994,27709,31887,32914,32335,32387,32382,33142,33430,34123,32635,34441,33886
Sudan,SDN,20147590,20891441,21696244,22527834,23338464,24094747,24782383,25413917,26015521,26626520,27275015,27971082,28704778,30214193,30949516,31661823,32360621,33060837,33783788,34545013,35349681,36193783,37072550,37977655,1144,1239,1316,1372,1379,1453,1526,1671,1715,1745,1846,1953
Senegal,SEN,7526307,7755496,7990096,8226760,8461068,8690164,8912861,9130877,9347774,9568722,9797734,10036104,10283699,10810083,11090116,11382268,11687080,12004701,12335084,12678148,13033809,13401991,13782420,14174731,1508,1551,1559,1570,1559,1633,1654,1694,1772,1867,1924,2007
Singapore,SGP,3047132,3135083,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,22655,24287,25706,28598,31448,33390,35086,37384,35740,38026,41663,41000
Solomon Islands,SLB,311866,320780,329995,339504,349281,359281,369523,379999,390693,401586,412660,423944,435432,458539,469918,481078,492132,503360,515181,527861,541521,556064,571335,587079,1222,1302,1459,1509,1636,1757,1768,1724,1725,1695,1445,1323
Sierra Leone,SLE,4319762,4348660,4347724,4328957,4309775,4303957,4312666,4335301,4381483,4462378,4584571,4754072,4965766,5433991,5645624,5829237,5989633,6133603,6272734,6415634,6563240,6712581,6863980,7017144,810,852,705,735,740,696,719,685,698,681,723,667
El Salvador,SLV,5270079,5342198,5416323,5490477,5561919,5628600,5689938,5746284,5797765,5844846,5887936,5927006,5962136,6023797,6052123,6079399,6105810,6131764,6157686,6183875,6210568,6237923,6266070,6295128,2928,3031,3272,3497,3691,3900,3960,4114,4233,4352,4466,4574
Somalia,SOM,7225092,7274030,7295384,7315865,7372598,7491637,7682686,7936127,8235064,8553601,8872254,9186725,9501342,10130243,10446863,10763905,11080121,11397188,11717692,12043883,12376302,12715510,13063706,13423576,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,7586000,7595636,7646424,7699307,7734639,7625357,7617794,7596501,7567745,7540401,7516346,7503433,7496522,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,0,0,0,0,0,4880,5095,5571,5792,5181,5726,6138
Suriname,SUR,405168,413005,420655,428030,435105,441851,448213,454161,459831,465385,470949,476579,482235,493679,499464,505295,511181,517123,523111,529131,535179,541245,547291,553273,6760,7041,7099,6663,6922,6960,7056,7488,7651,7561,7799,8207
Slovak Republic,SVK,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,0,0,7135,7429,8026,8648,9361,10068,10613,10701,11357,12371
Slovenia,SVN,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,12315,11591,11224,11844,12757,13556,14272,15271,16041,17067,18050,18955
Sweden,SWE,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,20121,20423,20526,20459,21596,22815,23634,24497,25545,27181,29321,29679
Eswatini,SWZ,822420,845266,866993,887706,907620,926841,945508,963426,979918,994108,1005435,1013609,1019059,1026286,1030579,1036092,1042652,1049945,1057467,1064837,1072032,1079288,1086839,1095021,3655,3742,3851,3970,4061,4256,4412,4541,4633,4769,4906,5025
Seychelles,SYC,69507,70439,70763,72253,74205,75304,76417,77319,78846,80410,81131,81202,83723,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,9225,9671,10551,11234,11083,11058,11642,13105,14088,14276,14684,14652
Chad,TCD,5963252,6157079,6356748,6563922,6781053,7010145,7250975,7503493,7770048,8053536,8355654,8678051,9019233,9734767,10096633,10457124,10818024,11183588,11560147,11952136,12360989,12784750,13220424,13663559,720,782,837,699,762,761,766,796,831,808,789,867
Togo,TGO,3774312,3862992,3945905,4029053,4120616,4226291,4348805,4485951,4632446,4780448,4924402,5062567,5197031,5467766,5611640,5762880,5920359,6083420,6250835,6421679,6595943,6773807,6954721,7137997,843,845,813,692,794,853,918,1036,991,998,983,961
Thailand,THA,56558186,57232465,57811021,58337773,58875269,59467274,60130186,60846582,61585103,62298571,62952642,63539196,64069087,64995299,65416189,65812536,66182067,66530984,66866839,67195028,67518382,67835957,68144501,68438730,4318,4788,5240,5755,6290,6874,7314,7150,6599,6920,7313,7659
Tajikistan,TJK,5283814,5400630,5502494,5593315,5679167,5764810,5851355,5938405,6027388,6119661,6216341,6318513,6426867,6662389,6789321,6922587,7062672,7209930,7364753,7527394,7697510,7874835,8059769,8252833,2376,2233,1591,1340,1061,934,781,796,835,865,943,1039
Turkmenistan,TKM,3683967,3789185,3899843,4010789,4115102,4207841,4287346,4355116,4413479,4466135,4516133,4564083,4610005,4703401,4754646,4810109,4870141,4935767,5007954,5087213,5174085,5267900,5366375,5466328,5397,5175,4373,4418,3637,3370,3594,3189,3408,3980,4244,4478
Tonga,TON,95069,95246,95399,95557,95739,95976,96273,96619,97032,97482,97973,98487,99022,100218,100905,101706,102581,103379,103890,103986,103562,102737,101768,101028,2321,2549,2610,2767,2960,3127,3174,3213,3324,3486,3666,3861
Tunisia,TUN,8242496,8427857,8613861,8795932,8967916,9125398,9267340,9395123,9509857,9613588,9708350,9793903,9871251,10022277,10106771,10201214,10304726,10414433,10525694,10635244,10741880,10847002,10952951,11063201,3639,3823,4125,4226,4368,4485,4819,5098,5337,5680,6021,6331
Turkey,TUR,53921760,54840590,55748948,56653804,57564204,58486456,59423282,60372568,61329676,62287397,63240194,64192243,65145367,67010930,67903469,68756810,69581848,70418604,71321399,72326988,73443863,74653016,75928564,77231907,6141,6303,6721,7314,6951,7487,8018,8626,9096,8757,9584,9215
Tuvalu,TUV,8913,9026,9112,9194,9252,9298,9323,9323,9332,9346,9394,9484,9596,9869,10000,10120,10221,10314,10424,10530,10633,10739,10857,10972,1543,1632,1699,1795,2009,1939,1852,2072,2418,2411,2428,2498
Uganda,UGA,17354392,17953531,18561674,19175988,19793541,20413152,21032821,21655398,22290780,22952410,23650172,24388968,25167257,26821297,27684585,28571475,29486338,30431736,31411096,32428167,33476919,34559168,35695246,36912148,502,529,541,581,612,676,728,756,779,830,849,885
Ukraine,UKR,51892000,52000470,52150266,52179210,51921041,51512299,51057189,50594105,50143939,49673350,49175848,48683865,48202500,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45271947,6790,6416,5909,5185,4102,3706,3427,3412,3416,3491,3818,4303
Uruguay,URY,3109601,3131660,3154464,3177745,3201151,3224281,3247381,3270164,3291053,3308012,3319736,3325473,3326040,3321476,3321803,3325401,3331749,3340221,3349676,3359275,3368934,3378974,3389439,3400434,6387,6788,7439,7761,8441,8433,9002,9870,10366,10259,10250,10055
Uzbekistan,UZB,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,2005,2019,1791,1751,1663,1652,1679,1763,1829,1915,2005,2107
"Venezuela, RB",VEN,19632665,20096317,20557683,21016901,21474549,21931084,22385650,22837743,23288564,23739841,24192446,24646472,25100408,25996594,26432447,26850194,27247610,27635832,28031009,28439940,28888369,29362449,29783571,30045134,9487,10514,11149,11195,10927,11356,11306,11992,11927,11161,11609,12041
Vanuatu,VUT,146573,150716,155170,159744,164129,168158,171722,174921,177987,181265,184972,189219,193920,204127,209282,214370,219472,224704,230247,236211,242653,249499,256635,263888,1655,1716,1749,1752,1900,1912,1951,2044,2119,2118,2247,2167
Samoa,WSM,162803,163997,165490,167119,168694,170054,171165,172068,172839,173609,174454,175392,176407,178590,179727,180876,182046,183263,184556,185949,187469,189088,190717,192221,2369,2375,2403,2536,2500,2701,2929,2983,3069,3167,3445,3745
"Yemen, Rep.",YEM,11709993,12302124,12954155,13634076,14297613,14913315,15469274,15975668,16450310,16921149,17409072,17918373,18443691,19540098,20107409,20687646,21282515,21892146,22516460,23154855,23807588,24473178,25147109,25823485,2223,2325,2444,2472,2570,2658,2730,2830,2946,3015,3181,3279
South Africa,ZAF,36800509,37718950,38672607,39633750,40564059,41435758,42241011,42987461,43682260,44338543,44967708,45571274,46150913,47291610,47880601,48489459,49119759,49779471,50477011,51216964,52004172,52834005,53689236,54545991,6425,6414,6262,6332,6521,6720,7001,7180,7181,7349,7719,7994
Zambia,ZMB,8036845,8246656,8451347,8656486,8869740,9096607,9339733,9597609,9866476,10140561,10415944,10692193,10971698,11550642,11856247,12173514,12502958,12848530,13215139,13605984,14023193,14465121,14926504,15399753,1518,1529,1499,1600,1458,1493,1573,1616,1584,1636,1692,1774
Zimbabwe,ZWE,10432421,10680995,10900502,11092766,11261744,11410714,11541217,11653242,11747072,11822719,11881477,11923914,11954290,12019912,12076699,12155491,12255922,12379549,12526968,12697723,12894316,13115131,13350356,13586681,1830,1950,1778,1807,1986,2004,2227,2304,2378,2377,2344,2422
