id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Barbados,BRB,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,9165,9070,8597,8875,9371,9722,10251,10875,11360,11514,12248,12175
Bhutan,BTN,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,1527,1561,1671,1751,1879,2044,2169,2282,2389,2556,2732,2958
Botswana,BWA,1286756,1326322,1363554,1399110,1434059,1469174,1504730,1540425,1575824,1610264,1643334,1674678,1704642,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,5517,5946,6088,6190,6392,6818,7174,7722,7668,8348,8529,8574
Central African Republic,CAF,2806734,2878509,2959236,3046149,3135015,3222656,3308233,3392436,3475492,3558014,3640427,3722018,3802128,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,638,639,595,594,618,658,627,655,677,695,677,707
Canada,CAN,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,20174,20161,20557,21367,22556,23402,23962,25168,26220,27746,29265,30108
Switzerland,CHE,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,27595,27915,28226,28597,29344,29902,30542,31813,32919,33814,35755,36778
Chile,CHL,13274623,13495258,13719819,13944937,14166340,14380866,14587370,14786220,14977733,15162800,15342353,15516113,15684409,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,4511,4953,5623,6119,6569,7352,8012,8637,8996,8977,9554,9973
China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,988,1101,1270,1464,1671,1873,2074,2281,2464,2668,2936,3227
Cote d'Ivoire,CIV,11924877,12362407,12812421,13271643,13735433,14199762,14665127,15130663,15589414,16032573,16454668,16853026,17231539,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,2132,2127,2094,2065,2055,2174,2309,2362,2433,2438,2379,2376
Cameroon,CMR,11780088,12137912,12499499,12864090,13230984,13599988,13970813,14344449,14723768,15112592,15513945,15928910,16357602,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,1949,1881,1811,1658,1682,1728,1788,1864,1919,1978,2040,2119
"Congo, Rep.",COG,2356737,2422305,2489952,2559873,2632345,2707537,2785810,2867280,2951647,3038433,3127411,3217933,3310387,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,3454,3558,3632,3581,3362,3470,3581,3518,3585,3441,3677,3791
Colombia,COL,33102575,33758337,34422569,35091275,35758979,36421438,37076387,37723800,38364309,38999471,39629968,40255967,40875360,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,5016,5186,5412,5728,6075,6406,6540,6763,6763,6465,6695,6848
Comoros,COM,411594,423872,436448,449274,462277,475394,488627,501953,515385,528848,542357,555888,569479,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,1675,1590,1714,1756,1651,1699,1661,1711,1707,1720,1901,1939
Cabo Verde,CPV,337950,346230,355757,366053,376407,386284,395533,404259,412514,420452,428188,435709,442951,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,1088,1113,1229,1329,1574,1788,1980,2190,2442,2703,3101,3184
Costa Rica,CRI,3119433,3202085,3286520,3372298,3458834,3545534,3632362,3718949,3803887,3885430,3962372,4034074,4100925,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,5026,5176,5632,6017,6261,6493,6534,6853,7247,7481,7787,8090
Cuba,CUB,10596987,10673542,10736387,10789306,10838462,10888252,10939293,10989732,11038692,11084670,11126430,11164667,11199651,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,766615,783124,800611,818746,837110,855383,873423,891190,908702,926046,943290,960276,976964,1010408,1027662,1045507,1063713,1081563,1098083,1112612,1124833,1135046,1143866,1152285,13315,13512,14722,14815,15696,17070,17297,17779,18759,19663,21291,22871
Czech Republic,CZE,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,12660,11596,11788,12062,12673,13753,14583,14731,14906,15324,16191,17554
Germany,DEU,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,19423,20952,21677,21834,22769,23581,24110,24645,25393,26360,27298,28476
Djibouti,DJI,590398,606844,615054,618495,622366,630388,643654,660863,680463,699975,717584,733015,746942,771603,783254,794563,805451,816358,827823,840198,853674,868136,883293,898696,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,70419,70374,70544,70831,71043,71098,70936,70599,70185,69835,69650,69661,69837,70382,70589,70718,70795,70827,70851,70878,70916,70965,71016,71085,4321,4530,4716,4912,5003,5259,5534,5780,6102,6243,6549,6687
